epoch,bits
1375495680,8324
1375495681,510
1375495682,3249
1375495683,256410
1375495684,356772
1375495685,534564
1375495686,649553
1375495687,718340
1375495688,625806
1375495689,617328
1375495690,327594
1375495691,331153
1375495700,389017
1375495701,607003
1375495702,1053700
1375495703,528061
1375495704,3879
1375495705,265
1375495706,6764
1375495707,753401
1375495709,530127
1375495710,105054
1375495410,21755
1375495411,26075
1375495412,31864
1375495413,40887
1375495414,10494
1375495415,3065
1375495416,6432
1375495417,53361
1375495418,3229
1375495419,17957
1375495420,3301
1375495421,5698
1375495422,7540
1375495423,16511
1375495424,9186
1375495425,3859
1375495426,6024
1375495427,2276
1375495428,26536
1375495429,6997
1375495430,15464
1375495431,14430
1375495432,22044
1375495433,2687
1375495434,11055
1375495435,4755
1375495436,6890
1375495437,12881
1375495438,6857
1375495439,16367
1375495440,1513
1375495441,2542
1375495442,4217
1375495443,450
1375495447,1388
1375495448,5723
1375495449,9911
1375495450,5295
1375495451,21520
1375495452,4962
1375495453,9253
1375495454,8000
1375495455,14875
1375495456,3031
1375495457,6840
1375495458,4494
1375495459,11068
1375495460,25734
1375495461,2484
1375495462,10686
1375495463,2406
1375495464,3652
1375495465,27604
1375495466,5417
1375495467,4427
1375495468,7806
1375495469,8550
1375495470,2573
1375495471,680
1375495472,17655
1375495473,51513
1375495474,3186
1375495475,5444
1375495476,3266
1375495477,2712
1375495478,13168
1375495479,11968
1375495480,5484
1375495481,3348
1375495482,7429
1375495483,32726
1375495484,7877
1375495485,2678
1375495486,6833
1375495487,10483
1375495488,3442
1375495489,8403
1375495490,4238
1375495491,8131
1375495492,4403
1375495493,12503
1375495494,11580
1375495503,20249
1375495504,3127
1375495505,5281
1375495506,6043
1375495507,6085
1375495508,2580
1375495509,14373
1375495510,9946
1375495511,5140
1375495512,2570
1375495513,10574
1375495514,8702
1375495515,2567
1375495516,11692
1375495517,1064
1375495525,680
1375495526,10875
1375495527,4942
1375495528,7050
1375495529,8767
1375495530,6841
1375495531,2400
1375495532,6135
1375495533,31887
1375495534,6444
1375495535,15522
1375495536,5475
1375495537,1690
1375495538,5475
1375495539,11390
1375495540,5534
1375495541,11970
1375495542,1582
1375495543,6216
1375495544,4340
1375495545,7403
1375495546,8954
1375495547,8264
1375495548,3954
1375495549,1336
1375495556,2623
1375495557,2247
1375495558,5522
1375495559,18432
1375495560,3795
1375495561,4613
1375495570,5309
1375495571,30806
1375495572,4653
1375495573,6218
1375495574,7221
1375495575,4798
1375495576,1510
1375495577,5325
1375495578,3290
1375495579,11389
1375495580,2674
1375495581,6348
1375495582,4226
1375495583,11668
1375495584,14218
1375495585,1910
1375495586,5456
1375495587,2232
1375495588,15896
1375495589,8577
1375495590,3892
1375495591,7023
1375495592,3386
1375495593,2426
1375495594,603
1375495595,1407
1375495597,5584
1375495598,3091
1375495599,9939
1375495600,107803
1375495601,1630
1375495602,4862
1375495603,11262
1375495604,8469
1375495605,7743
1375495606,5206
1375495607,1690
1375495608,2061
1375495609,4854
1375495610,2003
1375495611,4257
1375495612,4237
1375495613,5265
1375495617,97
1375495620,5230
1375495621,9753
1375495622,9589
1375495623,30678
1375495624,5085
1375495625,3506
1375495626,2100
1375495627,7866
1375495628,2489
1375495629,13160
1375495630,8691
1375495634,4127
1375495635,7694
1375495636,5069
1375495637,2244
1375495638,4462
1375495639,2304
1375495640,1589
1375495641,13851
1375495642,5872
1375495643,24211
1375495644,28405
1375495645,7076
1375495646,21533
1375495647,4954
1375495648,3656
1375495649,12507
1375495650,10074
1375495651,7325
1375495652,2185
1375495653,30452
1375495654,5260
1375495655,4912
1375495656,5910
1375495657,3149
1375495658,60
1375495659,9713
1375495660,5209
1375495661,9937
1375495662,43321
1375495663,23657
1375495664,3509
1375495665,8100
1375495666,1582
1375495667,5925
1375495668,1964
1375495669,4456
1375495670,3127
1375495671,1193
1375495672,4621
1375495673,14213
1375495674,12904
1375495675,2852
1375495676,5380
1375495677,1756
1375495678,21865
1375495679,6735
